,source,target,weight,confidence
0,MYC,TERT,1.0,A
1,GATA2,DPYSL2,1.0,A
2,FOXP3,CCR4,1.0,A
3,FOXP1,RAG1,1.0,A
4,FOXO4,TNFSF10,1.0,A
5,FOXM1,CDC25B,1.0,A
6,FOXL2,SIRT1,1.0,A
7,NFKB1,GATA3,1.0,A
8,FOXA2,CFTR,-1.0,A
9,FOXA1,RET,1.0,A
10,FOXA1,NF1,1.0,A
11,FOXA1,MYC,1.0,A
12,FOXA1,KRT7,1.0,A
13,FOXA1,CFTR,-1.0,A
14,FOXA1,ABCA1,-1.0,A
15,FOXA1,ESR1,1.0,A
16,FOSL2,NOS2,1.0,A
17,FOSL2,FOSL1,1.0,A
18,FOSL2,CCR4,1.0,A
19,FOSL2,BRCA1,1.0,A
20,FOSL2,BCL6,1.0,A
21,FOSL1,ITGB3,-1.0,A
22,GATA3,CDH1,1.0,A
23,GATA3,CDX2,1.0,A
24,GATA3,EPOR,1.0,A
25,GATA3,IL12RB2,-1.0,A
26,HIF1A,SOCS1,1.0,A
27,HIF1A,PPP1R3C,1.0,A
28,HIF1A,NR3C1,1.0,A
29,HIF1A,FAM162A,1.0,A
30,HIF1A,ENO1,1.0,A
31,HIF1A,E2F3,1.0,A
32,HIF1A,MIF,1.0,A
33,HIC1,VLDLR,-1.0,A
34,HHEX,HNF4A,1.0,A
35,HIF1A,CXCL12,1.0,A
36,FOS,SRR,1.0,A
37,HEY2,GATA6,-1.0,A
38,GLI2,WNT2B,1.0,A
39,GLI2,FST,1.0,A
40,GLI2,FOXA2,1.0,A
41,GLI2,FAS,-1.0,A
42,GLI1,EGR2,-1.0,A
43,GFI1B,MEF2C,-1.0,A
44,HBP1,NCF1,-1.0,A
45,GATA3,TCF7L2,1.0,A
46,RELA,GATA3,1.0,A
47,GATA3,NFKB1,1.0,A
48,HEY2,ACTA2,-1.0,A
49,HIF1A,TLR2,1.0,A
50,FOS,SPRR3,1.0,A
51,FOS,SMAD4,1.0,A
52,ETS2,CDK1,1.0,A
53,ETS2,CD163,1.0,A
54,ETS2,ANGPT2,1.0,A
55,ETS1,WAS,1.0,A
56,ETS1,TNFSF14,1.0,A
57,ETS1,TGFBR2,1.0,A
58,ETS1,TBXAS1,-1.0,A
59,ETS1,TAF12,1.0,A
60,ETS1,SPRY2,1.0,A
61,ETS1,SLC26A3,1.0,A
62,ETS1,NDRG1,-1.0,A
63,ETS1,MDM2,-1.0,A
64,ETS1,LCK,1.0,A
65,ETS1,IL2RB,1.0,A
66,ETS1,HPGD,1.0,A
67,ETS1,GP6,1.0,A
68,ETS1,FGFBP1,1.0,A
69,ETS1,F13A1,1.0,A
70,ETS1,ERG,1.0,A
71,ETS1,CSNK2B,1.0,A
72,ETS1,CSF3R,1.0,A
73,ETS2,CSF3R,1.0,A
74,ETS2,EGR1,1.0,A
75,ETS2,ERG,1.0,A
76,ETS2,MSR1,1.0,A
77,FOS,PLAU,1.0,A
78,FOS,PDHA1,1.0,A
79,FOS,NTS,1.0,A
80,FOS,NTF3,1.0,A
81,FOS,NFKB1,-1.0,A
82,FOS,NEFL,1.0,A
83,FOS,LRIG2,1.0,A
84,FOS,HSPH1,1.0,A
85,FOS,FOXA1,1.0,A
86,FOS,FAS,1.0,A
87,SPI1,FOS,1.0,A
88,FOS,DDIT3,1.0,A
89,FOS,BATF3,1.0,A
90,FOS,ACTA1,1.0,A
91,FLI1,ID2,1.0,A
92,FOXO1,RAG1,1.0,A
93,ETV4,TNF,1.0,A
94,ETV4,TIMP2,1.0,A
95,ETV4,BDKRB1,1.0,A
96,ETV3,NFKB1,-1.0,A
97,ETS2,VWF,1.0,A
98,ETS2,PDE7A,1.0,A
99,FOS,BCL2L1,1.0,A
100,HIF1A,TLR6,1.0,A
101,HIF1A,VEGFB,1.0,A
102,HIF1A,ZNF217,1.0,A
103,MITF,PRKCB,1.0,A
104,MITF,PMEL,1.0,A
105,MITF,HERC2,1.0,A
106,MITF,GPNMB,1.0,A
107,MITF,CDK2,1.0,A
108,MITF,BCL2A1,-1.0,A
109,MEF2D,SOST,-1.0,A
110,MEF2D,ATF3,1.0,A
111,MEF2C,SOST,-1.0,A
112,MEF2C,CPT1B,1.0,A
113,MEF2C,NR4A1,-1.0,A
114,LHX4,POU1F1,1.0,A
115,LEF1,TCF3,1.0,A
116,LEF1,NT5E,1.0,A
117,LEF1,CCL7,1.0,A
118,LEF1,BIRC5,1.0,A
119,KLF6,LTC4S,1.0,A
120,KLF5,NOTCH1,1.0,A
121,KLF4,THBD,1.0,A
122,KLF10,CDKN1A,1.0,A
123,LEF1,NRCAM,1.0,A
124,MITF,SERPINF1,1.0,A
125,MSC,IL10,1.0,A
126,MSC,MMP2,1.0,A
127,MYB,CEBPA,1.0,A
128,NCOA3,BCL2,1.0,A
129,NANOG,LAMB1,-1.0,A
130,NANOG,L1TD1,1.0,A
131,NANOG,GATA4,-1.0,A
132,NANOG,CDX2,-1.0,A
133,MYC,WRN,1.0,A
134,MYC,TFAP4,1.0,A
135,MYC,ST3GAL1,1.0,A
136,MYC,SHMT1,1.0,A
137,MYC,HLA-F,1.0,A
138,JUND,ITGB3,-1.0,A
139,MYC,HDAC2,1.0,A
140,MYBL2,PSG1,1.0,A
141,MYBL1,NCL,1.0,A
142,MYB,WAS,1.0,A
143,MYB,TK1,1.0,A
144,MYB,NMU,1.0,A
145,MZF1,MYB,1.0,A
146,NFKB1,COL1A1,-1.0,A
147,MYB,GSTM1,1.0,A
148,MYB,SIM2,1.0,A
149,MYB,COL1A1,1.0,A
150,MYC,ASS1,1.0,A
151,JUND,ITGAV,-1.0,A
152,JUND,IL3,1.0,A
153,JUN,VCAM1,1.0,A
154,IRF3,IRF7,1.0,A
155,IRF1,IL10,1.0,A
156,IRF1,CASP7,1.0,A
157,HSF2,MAPK8,-1.0,A
158,HSF2,MAP2K4,-1.0,A
159,HOXD3,ITGB3,1.0,A
160,HOXD3,ITGB1,1.0,A
161,HOXC8,TNFRSF11B,1.0,A
162,HOXB13,TCF4,-1.0,A
163,HOXA5,TH,1.0,A
164,IRF3,PURA,-1.0,A
165,HOXA4,TH,1.0,A
166,HNF4G,CYP2D6,1.0,A
167,HNF4A,TCF7L2,1.0,A
168,HNF4A,TBP,1.0,A
169,HNF4A,SERPINC1,1.0,A
170,HNF4A,PCSK9,1.0,A
171,HNF4A,LDLR,1.0,A
172,HNF4A,GPR39,1.0,A
173,HNF4A,CEACAM1,1.0,A
174,HNF4A,ABCG5,-1.0,A
175,HLF,RUNX1,-1.0,A
176,HOXA10,ITGB3,1.0,A
177,ETS1,COL1A1,1.0,A
178,IRF4,FCER2,1.0,A
179,IRF7,CXCL10,1.0,A
180,JUN,TXN,1.0,A
181,JUN,TNFRSF10A,1.0,A
182,JUN,TIMP2,1.0,A
183,JUN,SPRR3,1.0,A
184,JUN,RARB,1.0,A
185,JUN,POLD2,1.0,A
186,JUN,PDHA1,1.0,A
187,JUN,NOX5,1.0,A
188,JUN,NFKB2,1.0,A
189,JUN,RUNX2,1.0,A
190,IRF5,TNF,1.0,A
191,JUN,MGP,1.0,A
192,JUN,HEY1,1.0,A
193,JUN,ETS2,1.0,A
194,JUN,CTSL,1.0,A
195,JUN,CREM,1.0,A
196,JUN,CD82,1.0,A
197,JUN,BATF3,1.0,A
198,IRF9,PML,1.0,A
199,IRF9,IL27,-1.0,A
200,JUN,ACTA1,1.0,A
201,IRF7,IFNA2,1.0,A
202,JUN,LBP,-1.0,A
203,ETS1,CD8A,1.0,A
204,ETS1,EMSY,1.0,A
205,ESRRA,NR2F6,-1.0,A
206,CEBPA,STAT3,1.0,A
207,CEBPA,SLC10A1,1.0,A
208,CEBPA,SERPINC1,1.0,A
209,CEBPA,SAA1,1.0,A
210,CEBPA,PCK2,1.0,A
