,source,target
0,hsa00010_Glycolysis_Gluconeogenesis,ACSS1
1,hsa00010_Glycolysis_Gluconeogenesis,ACSS2
2,hsa00010_Glycolysis_Gluconeogenesis,ADH1B
3,hsa00010_Glycolysis_Gluconeogenesis,ADH1C
4,hsa00010_Glycolysis_Gluconeogenesis,ADH5
5,hsa00010_Glycolysis_Gluconeogenesis,ADH6
6,hsa00010_Glycolysis_Gluconeogenesis,ADPGK
7,hsa00010_Glycolysis_Gluconeogenesis,AKR1A1
8,hsa00010_Glycolysis_Gluconeogenesis,ALDH1B1
9,hsa00010_Glycolysis_Gluconeogenesis,ALDH2
10,hsa00010_Glycolysis_Gluconeogenesis,ALDH3A1
11,hsa00010_Glycolysis_Gluconeogenesis,ALDH3A2
12,hsa00010_Glycolysis_Gluconeogenesis,ALDH3B1
13,hsa00010_Glycolysis_Gluconeogenesis,ALDH7A1
14,hsa00010_Glycolysis_Gluconeogenesis,ALDH9A1
15,hsa00010_Glycolysis_Gluconeogenesis,ALDOA
16,hsa00010_Glycolysis_Gluconeogenesis,ALDOB
17,hsa00010_Glycolysis_Gluconeogenesis,ALDOC
18,hsa00010_Glycolysis_Gluconeogenesis,BPGM
19,hsa00010_Glycolysis_Gluconeogenesis,DLAT
20,hsa00010_Glycolysis_Gluconeogenesis,DLD
21,hsa00010_Glycolysis_Gluconeogenesis,ENO1
22,hsa00010_Glycolysis_Gluconeogenesis,ENO2
23,hsa00010_Glycolysis_Gluconeogenesis,ENO3
24,hsa00010_Glycolysis_Gluconeogenesis,ENO4
25,hsa00010_Glycolysis_Gluconeogenesis,FBP1
26,hsa00010_Glycolysis_Gluconeogenesis,G6PC3
27,hsa00010_Glycolysis_Gluconeogenesis,GALM
28,hsa00010_Glycolysis_Gluconeogenesis,GAPDH
29,hsa00010_Glycolysis_Gluconeogenesis,GAPDHS
30,hsa00010_Glycolysis_Gluconeogenesis,GCK
31,hsa00010_Glycolysis_Gluconeogenesis,GPI
32,hsa00010_Glycolysis_Gluconeogenesis,HK1
33,hsa00010_Glycolysis_Gluconeogenesis,HK2
