,source,target
0,ABC_transporter_disorders,ABCA1
1,ABC_transporter_disorders,ABCA12
2,ABC_transporter_disorders,ABCA3
3,ABC_transporter_disorders,ABCB11
4,ABC_transporter_disorders,ABCB4
5,ABC_transporter_disorders,ABCB6
6,ABC_transporter_disorders,ABCC2
7,ABC_transporter_disorders,ABCC6
8,ABC_transporter_disorders,ABCC8
9,ABC_transporter_disorders,ABCC9
10,ABC_transporter_disorders,ABCD1
11,ABC_transporter_disorders,ABCD4
12,ABC_transporter_disorders,ABCG5
13,ABC_transporter_disorders,ABCG8
14,ABC_transporter_disorders,ADRM1
15,ABC_transporter_disorders,APOA1
16,ABC_transporter_disorders,CFTR
17,ABC_transporter_disorders,DERL1
18,ABC_transporter_disorders,DERL2
19,ABC_transporter_disorders,DERL3
20,ABC_transporter_disorders,ERLEC1
21,ABC_transporter_disorders,ERLIN1
22,ABC_transporter_disorders,ERLIN2
23,ABC_transporter_disorders,KCNJ11
24,ABC_transporter_disorders,LMBRD1
25,ABC_transporter_disorders,OS9
26,ABC_transporter_disorders,PSMA1
27,ABC_transporter_disorders,PSMA2
28,ABC_transporter_disorders,PSMA3
29,ABC_transporter_disorders,PSMA4
30,ABC_transporter_disorders,PSMA5
31,ABC_transporter_disorders,PSMA6
32,ABC_transporter_disorders,PSMA7
33,ABC_transporter_disorders,PSMB1
34,ABC_transporter_disorders,PSMB2
35,ABC_transporter_disorders,PSMB3
36,ABC_transporter_disorders,PSMB4
37,ABC_transporter_disorders,PSMB5
38,ABC_transporter_disorders,PSMB6
39,ABC_transporter_disorders,PSMB7
40,ABC_transporter_disorders,PSMC1
41,ABC_transporter_disorders,PSMC2
42,ABC_transporter_disorders,PSMC3
43,ABC_transporter_disorders,PSMC4
44,ABC_transporter_disorders,PSMC5
45,ABC_transporter_disorders,PSMC6
46,ABC_transporter_disorders,PSMD1
47,ABC_transporter_disorders,PSMD11
48,ABC_transporter_disorders,PSMD12
49,ABC_transporter_disorders,PSMD13
50,ABC_transporter_disorders,PSMD14
51,ABC_transporter_disorders,PSMD2
52,ABC_transporter_disorders,PSMD3
53,ABC_transporter_disorders,PSMD6
54,ABC_transporter_disorders,PSMD7
55,ABC_transporter_disorders,PSMD8
56,ABC_transporter_disorders,RNF185
57,ABC_transporter_disorders,RNF5
58,ABC_transporter_disorders,RPS27A
59,ABC_transporter_disorders,SEL1L
60,ABC_transporter_disorders,SEM1
61,ABC_transporter_disorders,UBA52
62,ABC_transporter_disorders,UBB
63,ABC_transporter_disorders,UBC
64,ABC_transporter_disorders,VCP
65,ABC_family_proteins_mediated_transport,ABCA10
66,ABC_family_proteins_mediated_transport,ABCA12
67,ABC_family_proteins_mediated_transport,ABCA2
68,ABC_family_proteins_mediated_transport,ABCA3
69,ABC_family_proteins_mediated_transport,ABCA4
70,ABC_family_proteins_mediated_transport,ABCA5
71,ABC_family_proteins_mediated_transport,ABCA6
72,ABC_family_proteins_mediated_transport,ABCA7
73,ABC_family_proteins_mediated_transport,ABCA8
74,ABC_family_proteins_mediated_transport,ABCA9
75,ABC_family_proteins_mediated_transport,ABCB1
76,ABC_family_proteins_mediated_transport,ABCB10
77,ABC_family_proteins_mediated_transport,ABCB4
78,ABC_family_proteins_mediated_transport,ABCB5
79,ABC_family_proteins_mediated_transport,ABCB6
80,ABC_family_proteins_mediated_transport,ABCB7
81,ABC_family_proteins_mediated_transport,ABCB8
82,ABC_family_proteins_mediated_transport,ABCB9
83,ABC_family_proteins_mediated_transport,ABCC1
84,ABC_family_proteins_mediated_transport,ABCC10
85,ABC_family_proteins_mediated_transport,ABCC11
86,ABC_family_proteins_mediated_transport,ABCC2
87,ABC_family_proteins_mediated_transport,ABCC3
88,ABC_family_proteins_mediated_transport,ABCC4
89,ABC_family_proteins_mediated_transport,ABCC5
90,ABC_family_proteins_mediated_transport,ABCC6
91,ABC_family_proteins_mediated_transport,ABCC9
92,ABC_family_proteins_mediated_transport,ABCD1
93,ABC_family_proteins_mediated_transport,ABCD2
94,ABC_family_proteins_mediated_transport,ABCD3
95,ABC_family_proteins_mediated_transport,ABCF1
96,ABC_family_proteins_mediated_transport,ABCG1
97,ABC_family_proteins_mediated_transport,ABCG4
98,ABC_family_proteins_mediated_transport,ABCG5
99,ABC_family_proteins_mediated_transport,ABCG8
100,ABC_family_proteins_mediated_transport,ADRM1
101,ABC_family_proteins_mediated_transport,APOA1
102,ABC_family_proteins_mediated_transport,CFTR
103,ABC_family_proteins_mediated_transport,DERL1
104,ABC_family_proteins_mediated_transport,DERL2
105,ABC_family_proteins_mediated_transport,DERL3
106,ABC_family_proteins_mediated_transport,EIF2S1
107,ABC_family_proteins_mediated_transport,EIF2S2
108,ABC_family_proteins_mediated_transport,EIF2S3
109,ABC_family_proteins_mediated_transport,ERLEC1
110,ABC_family_proteins_mediated_transport,ERLIN1
111,ABC_family_proteins_mediated_transport,ERLIN2
112,ABC_family_proteins_mediated_transport,KCNJ11
113,ABC_family_proteins_mediated_transport,OS9
114,ABC_family_proteins_mediated_transport,PEX19
115,ABC_family_proteins_mediated_transport,PEX3
116,ABC_family_proteins_mediated_transport,PSMA1
117,ABC_family_proteins_mediated_transport,PSMA2
118,ABC_family_proteins_mediated_transport,PSMA3
119,ABC_family_proteins_mediated_transport,PSMA4
120,ABC_family_proteins_mediated_transport,PSMA5
121,ABC_family_proteins_mediated_transport,PSMA6
122,ABC_family_proteins_mediated_transport,PSMA7
123,ABC_family_proteins_mediated_transport,PSMB1
124,ABC_family_proteins_mediated_transport,PSMB2
125,ABC_family_proteins_mediated_transport,PSMB3
126,ABC_family_proteins_mediated_transport,PSMB4
127,ABC_family_proteins_mediated_transport,PSMB5
128,ABC_family_proteins_mediated_transport,PSMB6
129,ABC_family_proteins_mediated_transport,PSMB7
130,ABC_family_proteins_mediated_transport,PSMC1
131,ABC_family_proteins_mediated_transport,PSMC2
132,ABC_family_proteins_mediated_transport,PSMC3
133,ABC_family_proteins_mediated_transport,PSMC4
134,ABC_family_proteins_mediated_transport,PSMC5
135,ABC_family_proteins_mediated_transport,PSMC6
136,ABC_family_proteins_mediated_transport,PSMD1
137,ABC_family_proteins_mediated_transport,PSMD11
138,ABC_family_proteins_mediated_transport,PSMD12
139,ABC_family_proteins_mediated_transport,PSMD13
140,ABC_family_proteins_mediated_transport,PSMD14
